Model: meta-llama/Llama-2-7b-hf
Input: data/enwik9
Device: cuda
Dtype: torch.float16
Chunk size: 2048 bytes
Limit bytes: full file
chunks=50 bytes=102400 progress=0.01% BPC=0.7057 rate=8.82% top100=96.24%
chunks=100 bytes=204800 progress=0.02% BPC=0.6858 rate=8.57% top100=96.85%
chunks=150 bytes=307200 progress=0.03% BPC=0.6834 rate=8.54% top100=96.73%
chunks=200 bytes=409600 progress=0.04% BPC=0.6873 rate=8.59% top100=96.75%
chunks=250 bytes=512000 progress=0.05% BPC=0.6929 rate=8.66% top100=96.67%
chunks=300 bytes=614400 progress=0.06% BPC=0.7027 rate=8.78% top100=96.50%
chunks=350 bytes=716800 progress=0.07% BPC=0.7127 rate=8.91% top100=96.40%
chunks=400 bytes=819200 progress=0.08% BPC=0.7081 rate=8.85% top100=96.45%
chunks=450 bytes=921600 progress=0.09% BPC=0.7083 rate=8.85% top100=96.50%
chunks=500 bytes=1024000 progress=0.10% BPC=0.7096 rate=8.87% top100=96.59%
chunks=550 bytes=1126400 progress=0.11% BPC=0.7081 rate=8.85% top100=96.65%
chunks=600 bytes=1228800 progress=0.12% BPC=0.7091 rate=8.86% top100=96.65%
chunks=650 bytes=1331200 progress=0.13% BPC=0.7106 rate=8.88% top100=96.67%
chunks=700 bytes=1433600 progress=0.14% BPC=0.7112 rate=8.89% top100=96.67%
chunks=750 bytes=1536000 progress=0.15% BPC=0.7137 rate=8.92% top100=96.67%
chunks=800 bytes=1638400 progress=0.16% BPC=0.7175 rate=8.97% top100=96.66%
chunks=850 bytes=1740800 progress=0.17% BPC=0.7178 rate=8.97% top100=96.68%
chunks=900 bytes=1843200 progress=0.18% BPC=0.7184 rate=8.98% top100=96.68%
chunks=950 bytes=1945600 progress=0.19% BPC=0.7197 rate=9.00% top100=96.70%
chunks=1000 bytes=2048000 progress=0.20% BPC=0.7192 rate=8.99% top100=96.71%
chunks=1050 bytes=2150400 progress=0.22% BPC=0.7226 rate=9.03% top100=96.70%
chunks=1100 bytes=2252800 progress=0.23% BPC=0.7234 rate=9.04% top100=96.70%
chunks=1150 bytes=2355200 progress=0.24% BPC=0.7260 rate=9.07% top100=96.68%
chunks=1200 bytes=2457600 progress=0.25% BPC=0.7235 rate=9.04% top100=96.69%
chunks=1250 bytes=2560000 progress=0.26% BPC=0.7219 rate=9.02% top100=96.70%
chunks=1300 bytes=2662400 progress=0.27% BPC=0.7223 rate=9.03% top100=96.68%
chunks=1350 bytes=2764800 progress=0.28% BPC=0.7241 rate=9.05% top100=96.68%
chunks=1400 bytes=2867200 progress=0.29% BPC=0.7281 rate=9.10% top100=96.64%
chunks=1450 bytes=2969600 progress=0.30% BPC=0.7263 rate=9.08% top100=96.64%
chunks=1500 bytes=3072000 progress=0.31% BPC=0.7294 rate=9.12% top100=96.62%
chunks=1550 bytes=3174400 progress=0.32% BPC=0.7327 rate=9.16% top100=96.61%
chunks=1600 bytes=3276800 progress=0.33% BPC=0.7336 rate=9.17% top100=96.59%
chunks=1650 bytes=3379200 progress=0.34% BPC=0.7329 rate=9.16% top100=96.58%
chunks=1700 bytes=3481600 progress=0.35% BPC=0.7335 rate=9.17% top100=96.58%
